,title,url,Unnamed: 2
163,How to help the elderly during the coronavirus pandemic | USA TODAY,https://www.youtube.com/watch?v=u5SITRWfeRk,
165,Follow these tips to keep your groceries safe from coronavirus | USA TODAY,https://www.youtube.com/watch?v=4_um5_MvQSY,
168,"President Trump and Coronavirus Task Force provide update, Thursday, April 16 | USA TODAY",https://www.youtube.com/watch?v=eBsh5q-Rw2o,
170,White House addresses coronavirus outbreak: 3/16/2020 | USA TODAY,https://www.youtube.com/watch?v=_13JkgQ7qbM,
172,"Humana, Cigna waiving some patient health insurance costs | Coronavirus Conversations",https://www.youtube.com/watch?v=pY4zYv4s4uk,
173,British Prime Minister Boris Johnson tests positive for coronavirus | USA TODAY,https://www.youtube.com/watch?v=FDNTwYeLEn8,
175,"The most urgent questions on disinfection and reinfection, answered | Coronavirus Conversations, EP9",https://www.youtube.com/watch?v=j-E1vBM-31M,
177,Gov. Andrew Cuomo holds a press conference on coronavirus | USA TODAY,https://www.youtube.com/watch?v=V5CFFhGvOAU,
185,Gov. Andrew Cuomo addresses brother Chris testing positive for coronavirus | USA TODAY,https://www.youtube.com/watch?v=Yza4Ctl6fVI,
186,Drone footage shows coronavirus mass burials on Hart Island | USA TODAY,https://www.youtube.com/watch?v=EMPowxJBu5w,
193,Gov. Andrew Cuomo gives updates on coronavirus pandemic in New York | USA TODAY,https://www.youtube.com/watch?v=1c7l28vb7l8,
195,Gov. Andrew Cuomo provides daily coronavirus update: April 25 | USA TODAY,https://www.youtube.com/watch?v=C1iC9z02_UI,
197,President Trump announces coronavirus disaster relief for several states | USA TODAY,https://www.youtube.com/watch?v=1jUPeFw4T2c,
199,Vice President Pence holds coronavirus task force briefing | USA TODAY,https://www.youtube.com/watch?v=sHp8WCPEys4,
202,White House addresses California's shelter in place: coronavirus update | USA TODAY,https://www.youtube.com/watch?v=L7bf3-r-JSk,
203,"American teacher documents life in Wuhan, center of coronavirus | USA TODAY",https://www.youtube.com/watch?v=7cLmOibP49o,
204,"President Trump and Coronavirus Task Force provide update, Friday, April 17 | USA TODAY",https://www.youtube.com/watch?v=nKeWowuFoGo,
206,Face mask from a t-shirt tutorial: How to protect from coronavirus | USA TODAY,https://www.youtube.com/watch?v=CPA-NnyIreU,
208,Flu season and coronavirus 2020: What parents should know as kids go back to school | USA TODAY,https://www.youtube.com/watch?v=0eXkN4_Cdfs,
210,How new parents navigate delivering babies during a pandemic | Coronavirus Chronicles,https://www.youtube.com/watch?v=tGY5nNSKiBs,
211,Andrew Cuomo holds coronavirus briefing: regions to open in NYC | USA TODAY,https://www.youtube.com/watch?v=dJmIETQsjQs,
213,The Coronavirus Task Force provides further updates on pandemic | USA TODAY,https://www.youtube.com/watch?v=xUP6ters7vs,
216,Tom Hanks and Rita Wilson contract coronavirus | USA TODAY,https://www.youtube.com/watch?v=bc7GNDdHY5s,
217,President Trump and Coronavirus Task Force update on pandemic | USA TODAY,https://www.youtube.com/watch?v=-b7FSbFCMT8,
221,White House addresses coronavirus outbreak Sunday | USA TODAY,https://www.youtube.com/watch?v=IAJS6Dx5-Cs,
223,President Trump and the Coronavirus Task Force provide further updates | USA TODAY,https://www.youtube.com/watch?v=mbBc4C7ISfc,
224,New series looks at Coronavirus recovery efforts | USA TODAY,https://www.youtube.com/watch?v=wxnxVosUX1g,
228,Unemployment claims surge to record 3.3M due to coronavirus | USA TODAY,https://www.youtube.com/watch?v=GI-ZJu55K7E,
231,Gov. Andrew Cuomo provides daily coronavirus update: April 24 | USA TODAY,https://www.youtube.com/watch?v=reTc8uNZzO8,
232,Coronavirus quarantine: cases have tripled on a Princess Cruises ship | USA TODAY,https://www.youtube.com/watch?v=Psyfm5N5mWM,
233,Gov. Andrew Cuomo provides daily coronavirus update: April 29 | USA TODAY,https://www.youtube.com/watch?v=pk3Hm5Gj-N0,
235,Gov. Andrew Cuomo provides daily coronavirus update: May 1 | USA TODAY,https://www.youtube.com/watch?v=toOIJjt5MIk,
236,How coronavirus and panic buying are impacting supply chains | Just The FAQs,https://www.youtube.com/watch?v=PJIJ5f-CwJo,
237,President Trump and Coronavirus Task Force give updates on coronavirus pandemic | USA TODAY,https://www.youtube.com/watch?v=6BnuWmqRG-0,
238,Bernie Sanders addresses coronavirus outbreak | USA TODAY,https://www.youtube.com/watch?v=clomd4d4b98,
239,President Trump coronavirus briefing in North Carolina | USA TODAY,https://www.youtube.com/watch?v=92jYAmjYAG0,
241,"Coronavirus at the epicenter: What lessons can we learn from it? | Coronavirus Conversations, EP5",https://www.youtube.com/watch?v=djcAs9kE-7E,
242,Students try to find a school and home rhythm that works for them | Coronavirus Chronicles,https://www.youtube.com/watch?v=GrTZYc6MruA,
243,Coronavirus Task Force gives press briefing on outbreak | USA TODAY,https://www.youtube.com/watch?v=79-Ng22iYNk,
245,President Trump and Coronavirus Task Force give updates on coronavirus pandemic | USA TODAY,https://www.youtube.com/watch?v=ekDrVLUbJLY,
246,White House addresses coronavirus outbreak: 3/17/2020 | USA TODAY,https://www.youtube.com/watch?v=NuRqh7bI0ps,
248,New York Gov. Andrew Cuomo holds coronavirus briefing | USA TODAY,https://www.youtube.com/watch?v=lZCIDthFLRg,
250,President Trump and the Coronavirus Task Force hold press briefing | USA TODAY,https://www.youtube.com/watch?v=d-XluV9rqps,
251,A look inside the Diamond Princess cruise ship quarantined by coronavirus | USA TODAY,https://www.youtube.com/watch?v=xdbdi2ZEI5E,
252,New York Gov. Andrew Cuomo holds coronavirus briefing | USA TODAY,https://www.youtube.com/watch?v=Hzs9rodji6U,
255,"How do we return to 'normal' and should you stay under lockdown? | Coronavirus Conversations, EP12",https://www.youtube.com/watch?v=kUl-ExPcKf4,
257,Trump faces backlash after suggesting disinfectant injections might kill coronavirus | USA TODAY,https://www.youtube.com/watch?v=BqqXSHZ_ouY,
260,"Fact check: Trump's campaign-style video touts coronavirus response, omits context | USA TODAY",https://www.youtube.com/watch?v=visgWzMzHNM,
261,President Trump holds a press conference regarding the coronavirus | USA TODAY,https://www.youtube.com/watch?v=6uy3-aIlyIo,
262,"President Trump and the coronavirus task force update on pandemic - Wednesday, April 8 | USA TODAY",https://www.youtube.com/watch?v=0TdF0jkbjwI,
265,Gov. Andrew Cuomo gives updates on coronavirus pandemic in New York | USA TODAY,https://www.youtube.com/watch?v=2zkol1Z49XM,
266,Coronavirus Task Force gives briefing on outbreak | USA TODAY,https://www.youtube.com/watch?v=xmCU_QxQs1g,
267,Gov. Andrew Cuomo gives updates on coronavirus pandemic in New York | USA TODAY,https://www.youtube.com/watch?v=c6qAtb2lrUg,
268,New York Gov. Andrew Cuomo holds coronavirus briefing Friday | USA TODAY,https://www.youtube.com/watch?v=1KZOeVuULwc,
270,New York Gov. Andrew Cuomo gives updates on coronavirus pandemic | USA TODAY,https://www.youtube.com/watch?v=ZmymwqRArOk,
271,Gov. Andrew Cuomo provides updates on coronavirus pandemic in New York | USA TODAY,https://www.youtube.com/watch?v=dkWSNKfRkXw,
273,Senators sold stocks before coronavirus sank the markets | USA TODAY,https://www.youtube.com/watch?v=ewp3Vhwksyg,
274,Gov. Andrew Cuomo gives updates on coronavirus pandemic in New York | USA TODAY,https://www.youtube.com/watch?v=NL3tDMrLHDM,
275,"Senate announces coronavirus stimulus deal, reaches trillions of dollars | USA TODAY",https://www.youtube.com/watch?v=uv3GqTy32aM,
276,President Trump signs $2 trillion stimulus package to fight coronavirus | USA TODAY,https://www.youtube.com/watch?v=_CCcSr-OdXI,
277,"Lawmakers try to do their jobs from home, burdens weigh heavy | Coronavirus Chronicles",https://www.youtube.com/watch?v=XQTvy-NmDjw,
278,President Trump: Coronavirus response 'could last until August' | USA TODAY,https://www.youtube.com/watch?v=_CV_5MWJXBk,
279,Gov. Andrew Cuomo addresses latest in coronavirus pandemic | USA TODAY,https://www.youtube.com/watch?v=7OfAeJeCX-A,
280,New York Gov. Andrew Cuomo holds daily coronavirus briefing | USA TODAY,https://www.youtube.com/watch?v=BXe5UQdVCNw,
282,Gov. Andrew Cuomo holds daily coronavirus briefing | USA TODAY,https://www.youtube.com/watch?v=wCAGxAMzPoU,
286,"How to protect yourself as the nation reopens | Coronavirus Conversations, EP11",https://www.youtube.com/watch?v=vVfiIpK9OEY,
287,"Stimulus checks, unemployment, and panic buying in the U.S. | Coronavirus Conversations, EP8",https://www.youtube.com/watch?v=bMw3cPFmEYE,
288,White House addresses coronavirus as unemployment claims hit record high | USA TODAY,https://www.youtube.com/watch?v=tmCjJsVCPlI,
298,Gov. Andrew Cuomo provides daily coronavirus update: April 28 | USA TODAY,https://www.youtube.com/watch?v=hMLnDIJpKUI,
